,date_id,day,week,month,year,season,weekend,weekday,quarter,semester,holiday
0,28012020,28,5,1,2020,Winter,Work Day,Tuesday,Q1,S1,Not Holiday
1,29012020,29,5,1,2020,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
2,30012020,30,5,1,2020,Winter,Work Day,Thursday,Q1,S1,Not Holiday
3,31012020,31,5,1,2020,Winter,Work Day,Friday,Q1,S1,Not Holiday
4,1022020,1,1,2,2020,Winter,Weekend,Saturday,Q1,S1,Not Holiday
5,2022020,2,1,2,2020,Winter,Weekend,Sunday,Q1,S1,Not Holiday
6,3022020,3,2,2,2020,Winter,Work Day,Monday,Q1,S1,Not Holiday
7,4022020,4,2,2,2020,Winter,Work Day,Tuesday,Q1,S1,Not Holiday
8,5022020,5,2,2,2020,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
9,6022020,6,2,2,2020,Winter,Work Day,Thursday,Q1,S1,Not Holiday
10,7022020,7,2,2,2020,Winter,Work Day,Friday,Q1,S1,Not Holiday
11,8022020,8,2,2,2020,Winter,Weekend,Saturday,Q1,S1,Not Holiday
12,9022020,9,2,2,2020,Winter,Weekend,Sunday,Q1,S1,Not Holiday
13,10022020,10,3,2,2020,Winter,Work Day,Monday,Q1,S1,Not Holiday
14,11022020,11,3,2,2020,Winter,Work Day,Tuesday,Q1,S1,Not Holiday
15,12022020,12,3,2,2020,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
16,13022020,13,3,2,2020,Winter,Work Day,Thursday,Q1,S1,Not Holiday
17,14022020,14,3,2,2020,Winter,Work Day,Friday,Q1,S1,Not Holiday
18,15022020,15,3,2,2020,Winter,Weekend,Saturday,Q1,S1,Not Holiday
19,16022020,16,3,2,2020,Winter,Weekend,Sunday,Q1,S1,Not Holiday
20,17022020,17,4,2,2020,Winter,Work Day,Monday,Q1,S1,Not Holiday
21,18022020,18,4,2,2020,Winter,Work Day,Tuesday,Q1,S1,Not Holiday
22,19022020,19,4,2,2020,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
23,20022020,20,4,2,2020,Winter,Work Day,Thursday,Q1,S1,Not Holiday
24,21022020,21,4,2,2020,Winter,Work Day,Friday,Q1,S1,Not Holiday
25,22022020,22,4,2,2020,Winter,Weekend,Saturday,Q1,S1,Not Holiday
26,23022020,23,4,2,2020,Winter,Weekend,Sunday,Q1,S1,Not Holiday
27,24022020,24,5,2,2020,Winter,Work Day,Monday,Q1,S1,Holiday
28,25022020,25,5,2,2020,Winter,Work Day,Tuesday,Q1,S1,Not Holiday
29,26022020,26,5,2,2020,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
30,27022020,27,5,2,2020,Winter,Work Day,Thursday,Q1,S1,Not Holiday
31,28022020,28,5,2,2020,Winter,Work Day,Friday,Q1,S1,Not Holiday
32,29022020,29,5,2,2020,Winter,Weekend,Saturday,Q1,S1,Not Holiday
33,1032020,1,1,3,2020,Spring,Weekend,Sunday,Q1,S1,Not Holiday
34,2032020,2,2,3,2020,Spring,Work Day,Monday,Q1,S1,Not Holiday
35,3032020,3,2,3,2020,Spring,Work Day,Tuesday,Q1,S1,Not Holiday
36,4032020,4,2,3,2020,Spring,Work Day,Wednesday,Q1,S1,Not Holiday
37,5032020,5,2,3,2020,Spring,Work Day,Thursday,Q1,S1,Not Holiday
38,6032020,6,2,3,2020,Spring,Work Day,Friday,Q1,S1,Not Holiday
39,7032020,7,2,3,2020,Spring,Weekend,Saturday,Q1,S1,Not Holiday
40,8032020,8,2,3,2020,Spring,Weekend,Sunday,Q1,S1,Not Holiday
41,9032020,9,3,3,2020,Spring,Work Day,Monday,Q1,S1,Not Holiday
42,10032020,10,3,3,2020,Spring,Work Day,Tuesday,Q1,S1,Not Holiday
43,11032020,11,3,3,2020,Spring,Work Day,Wednesday,Q1,S1,Not Holiday
44,12032020,12,3,3,2020,Spring,Work Day,Thursday,Q1,S1,Not Holiday
45,13032020,13,3,3,2020,Spring,Work Day,Friday,Q1,S1,Not Holiday
46,14032020,14,3,3,2020,Spring,Weekend,Saturday,Q1,S1,Not Holiday
47,15032020,15,3,3,2020,Spring,Weekend,Sunday,Q1,S1,Not Holiday
48,16032020,16,4,3,2020,Spring,Work Day,Monday,Q1,S1,Not Holiday
49,17032020,17,4,3,2020,Spring,Work Day,Tuesday,Q1,S1,Not Holiday
50,18032020,18,4,3,2020,Spring,Work Day,Wednesday,Q1,S1,Not Holiday
51,19032020,19,4,3,2020,Spring,Work Day,Thursday,Q1,S1,Not Holiday
52,20032020,20,4,3,2020,Spring,Work Day,Friday,Q1,S1,Not Holiday
53,21032020,21,4,3,2020,Spring,Weekend,Saturday,Q1,S1,Not Holiday
54,22032020,22,4,3,2020,Spring,Weekend,Sunday,Q1,S1,Not Holiday
55,23032020,23,5,3,2020,Spring,Work Day,Monday,Q1,S1,Not Holiday
56,24032020,24,5,3,2020,Spring,Work Day,Tuesday,Q1,S1,Not Holiday
57,25032020,25,5,3,2020,Spring,Work Day,Wednesday,Q1,S1,Not Holiday
58,26032020,26,5,3,2020,Spring,Work Day,Thursday,Q1,S1,Not Holiday
59,27032020,27,5,3,2020,Spring,Work Day,Friday,Q1,S1,Not Holiday
60,28032020,28,5,3,2020,Spring,Weekend,Saturday,Q1,S1,Not Holiday
61,29032020,29,5,3,2020,Spring,Weekend,Sunday,Q1,S1,Not Holiday
62,30032020,30,6,3,2020,Spring,Work Day,Monday,Q1,S1,Not Holiday
63,31032020,31,6,3,2020,Spring,Work Day,Tuesday,Q1,S1,Not Holiday
64,1042020,1,1,4,2020,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
65,2042020,2,1,4,2020,Spring,Work Day,Thursday,Q2,S1,Not Holiday
66,3042020,3,1,4,2020,Spring,Work Day,Friday,Q2,S1,Not Holiday
67,4042020,4,1,4,2020,Spring,Weekend,Saturday,Q2,S1,Not Holiday
68,5042020,5,1,4,2020,Spring,Weekend,Sunday,Q2,S1,Not Holiday
69,6042020,6,2,4,2020,Spring,Work Day,Monday,Q2,S1,Not Holiday
70,7042020,7,2,4,2020,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
71,8042020,8,2,4,2020,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
72,9042020,9,2,4,2020,Spring,Work Day,Thursday,Q2,S1,Not Holiday
73,10042020,10,2,4,2020,Spring,Work Day,Friday,Q2,S1,Holiday
74,11042020,11,2,4,2020,Spring,Weekend,Saturday,Q2,S1,Not Holiday
75,12042020,12,2,4,2020,Spring,Weekend,Sunday,Q2,S1,Holiday
76,13042020,13,3,4,2020,Spring,Work Day,Monday,Q2,S1,Holiday
77,14042020,14,3,4,2020,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
78,15042020,15,3,4,2020,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
79,16042020,16,3,4,2020,Spring,Work Day,Thursday,Q2,S1,Not Holiday
80,17042020,17,3,4,2020,Spring,Work Day,Friday,Q2,S1,Not Holiday
81,18042020,18,3,4,2020,Spring,Weekend,Saturday,Q2,S1,Not Holiday
82,19042020,19,3,4,2020,Spring,Weekend,Sunday,Q2,S1,Not Holiday
83,20042020,20,4,4,2020,Spring,Work Day,Monday,Q2,S1,Not Holiday
84,21042020,21,4,4,2020,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
85,22042020,22,4,4,2020,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
86,23042020,23,4,4,2020,Spring,Work Day,Thursday,Q2,S1,Not Holiday
87,24042020,24,4,4,2020,Spring,Work Day,Friday,Q2,S1,Not Holiday
88,25042020,25,4,4,2020,Spring,Weekend,Saturday,Q2,S1,Holiday
89,26042020,26,4,4,2020,Spring,Weekend,Sunday,Q2,S1,Not Holiday
90,27042020,27,5,4,2020,Spring,Work Day,Monday,Q2,S1,Not Holiday
91,28042020,28,5,4,2020,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
92,29042020,29,5,4,2020,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
93,30042020,30,5,4,2020,Spring,Work Day,Thursday,Q2,S1,Not Holiday
94,1052020,1,1,5,2020,Spring,Work Day,Friday,Q2,S1,Holiday
95,2052020,2,1,5,2020,Spring,Weekend,Saturday,Q2,S1,Not Holiday
96,3052020,3,1,5,2020,Spring,Weekend,Sunday,Q2,S1,Not Holiday
97,4052020,4,2,5,2020,Spring,Work Day,Monday,Q2,S1,Not Holiday
98,5052020,5,2,5,2020,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
99,6052020,6,2,5,2020,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
100,7052020,7,2,5,2020,Spring,Work Day,Thursday,Q2,S1,Not Holiday
101,8052020,8,2,5,2020,Spring,Work Day,Friday,Q2,S1,Not Holiday
102,9052020,9,2,5,2020,Spring,Weekend,Saturday,Q2,S1,Not Holiday
103,10052020,10,2,5,2020,Spring,Weekend,Sunday,Q2,S1,Not Holiday
104,11052020,11,3,5,2020,Spring,Work Day,Monday,Q2,S1,Not Holiday
105,12052020,12,3,5,2020,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
106,13052020,13,3,5,2020,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
107,14052020,14,3,5,2020,Spring,Work Day,Thursday,Q2,S1,Not Holiday
108,15052020,15,3,5,2020,Spring,Work Day,Friday,Q2,S1,Not Holiday
109,16052020,16,3,5,2020,Spring,Weekend,Saturday,Q2,S1,Not Holiday
110,17052020,17,3,5,2020,Spring,Weekend,Sunday,Q2,S1,Not Holiday
111,18052020,18,4,5,2020,Spring,Work Day,Monday,Q2,S1,Not Holiday
112,19052020,19,4,5,2020,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
113,20052020,20,4,5,2020,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
114,21052020,21,4,5,2020,Spring,Work Day,Thursday,Q2,S1,Holiday
115,22052020,22,4,5,2020,Spring,Work Day,Friday,Q2,S1,Not Holiday
116,23052020,23,4,5,2020,Spring,Weekend,Saturday,Q2,S1,Not Holiday
117,24052020,24,4,5,2020,Spring,Weekend,Sunday,Q2,S1,Not Holiday
118,25052020,25,5,5,2020,Spring,Work Day,Monday,Q2,S1,Not Holiday
119,26052020,26,5,5,2020,Spring,Work Day,Tuesday,Q2,S1,Not Holiday
120,27052020,27,5,5,2020,Spring,Work Day,Wednesday,Q2,S1,Not Holiday
121,28052020,28,5,5,2020,Spring,Work Day,Thursday,Q2,S1,Not Holiday
122,29052020,29,5,5,2020,Spring,Work Day,Friday,Q2,S1,Not Holiday
123,30052020,30,5,5,2020,Spring,Weekend,Saturday,Q2,S1,Not Holiday
124,31052020,31,5,5,2020,Spring,Weekend,Sunday,Q2,S1,Not Holiday
125,1062020,1,1,6,2020,Summer,Work Day,Monday,Q2,S1,Not Holiday
126,2062020,2,1,6,2020,Summer,Work Day,Tuesday,Q2,S1,Not Holiday
127,3062020,3,1,6,2020,Summer,Work Day,Wednesday,Q2,S1,Not Holiday
128,4062020,4,1,6,2020,Summer,Work Day,Thursday,Q2,S1,Not Holiday
129,5062020,5,1,6,2020,Summer,Work Day,Friday,Q2,S1,Not Holiday
130,6062020,6,1,6,2020,Summer,Weekend,Saturday,Q2,S1,Not Holiday
131,7062020,7,1,6,2020,Summer,Weekend,Sunday,Q2,S1,Not Holiday
132,8062020,8,2,6,2020,Summer,Work Day,Monday,Q2,S1,Not Holiday
133,9062020,9,2,6,2020,Summer,Work Day,Tuesday,Q2,S1,Not Holiday
134,10062020,10,2,6,2020,Summer,Work Day,Wednesday,Q2,S1,Holiday
135,11062020,11,2,6,2020,Summer,Work Day,Thursday,Q2,S1,Holiday
136,12062020,12,2,6,2020,Summer,Work Day,Friday,Q2,S1,Not Holiday
137,13062020,13,2,6,2020,Summer,Weekend,Saturday,Q2,S1,Holiday
138,14062020,14,2,6,2020,Summer,Weekend,Sunday,Q2,S1,Not Holiday
139,15062020,15,3,6,2020,Summer,Work Day,Monday,Q2,S1,Not Holiday
140,16062020,16,3,6,2020,Summer,Work Day,Tuesday,Q2,S1,Not Holiday
141,17062020,17,3,6,2020,Summer,Work Day,Wednesday,Q2,S1,Not Holiday
142,18062020,18,3,6,2020,Summer,Work Day,Thursday,Q2,S1,Not Holiday
143,19062020,19,3,6,2020,Summer,Work Day,Friday,Q2,S1,Not Holiday
144,20062020,20,3,6,2020,Summer,Weekend,Saturday,Q2,S1,Not Holiday
145,21062020,21,3,6,2020,Summer,Weekend,Sunday,Q2,S1,Not Holiday
146,22062020,22,4,6,2020,Summer,Work Day,Monday,Q2,S1,Not Holiday
147,23062020,23,4,6,2020,Summer,Work Day,Tuesday,Q2,S1,Not Holiday
148,24062020,24,4,6,2020,Summer,Work Day,Wednesday,Q2,S1,Not Holiday
149,25062020,25,4,6,2020,Summer,Work Day,Thursday,Q2,S1,Not Holiday
150,26062020,26,4,6,2020,Summer,Work Day,Friday,Q2,S1,Not Holiday
151,27062020,27,4,6,2020,Summer,Weekend,Saturday,Q2,S1,Not Holiday
152,28062020,28,4,6,2020,Summer,Weekend,Sunday,Q2,S1,Not Holiday
153,29062020,29,5,6,2020,Summer,Work Day,Monday,Q2,S1,Not Holiday
154,30062020,30,5,6,2020,Summer,Work Day,Tuesday,Q2,S1,Not Holiday
155,1072020,1,1,7,2020,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
156,2072020,2,1,7,2020,Summer,Work Day,Thursday,Q3,S2,Not Holiday
157,3072020,3,1,7,2020,Summer,Work Day,Friday,Q3,S2,Not Holiday
158,4072020,4,1,7,2020,Summer,Weekend,Saturday,Q3,S2,Not Holiday
159,5072020,5,1,7,2020,Summer,Weekend,Sunday,Q3,S2,Not Holiday
160,6072020,6,2,7,2020,Summer,Work Day,Monday,Q3,S2,Not Holiday
161,7072020,7,2,7,2020,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
162,8072020,8,2,7,2020,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
163,9072020,9,2,7,2020,Summer,Work Day,Thursday,Q3,S2,Not Holiday
164,10072020,10,2,7,2020,Summer,Work Day,Friday,Q3,S2,Not Holiday
165,11072020,11,2,7,2020,Summer,Weekend,Saturday,Q3,S2,Not Holiday
166,12072020,12,2,7,2020,Summer,Weekend,Sunday,Q3,S2,Not Holiday
167,13072020,13,3,7,2020,Summer,Work Day,Monday,Q3,S2,Not Holiday
168,14072020,14,3,7,2020,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
169,15072020,15,3,7,2020,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
170,16072020,16,3,7,2020,Summer,Work Day,Thursday,Q3,S2,Not Holiday
171,17072020,17,3,7,2020,Summer,Work Day,Friday,Q3,S2,Not Holiday
172,18072020,18,3,7,2020,Summer,Weekend,Saturday,Q3,S2,Not Holiday
173,19072020,19,3,7,2020,Summer,Weekend,Sunday,Q3,S2,Not Holiday
174,20072020,20,4,7,2020,Summer,Work Day,Monday,Q3,S2,Not Holiday
175,21072020,21,4,7,2020,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
176,22072020,22,4,7,2020,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
177,23072020,23,4,7,2020,Summer,Work Day,Thursday,Q3,S2,Not Holiday
178,24072020,24,4,7,2020,Summer,Work Day,Friday,Q3,S2,Not Holiday
179,25072020,25,4,7,2020,Summer,Weekend,Saturday,Q3,S2,Not Holiday
180,26072020,26,4,7,2020,Summer,Weekend,Sunday,Q3,S2,Not Holiday
181,27072020,27,5,7,2020,Summer,Work Day,Monday,Q3,S2,Not Holiday
182,28072020,28,5,7,2020,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
183,29072020,29,5,7,2020,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
184,30072020,30,5,7,2020,Summer,Work Day,Thursday,Q3,S2,Not Holiday
185,31072020,31,5,7,2020,Summer,Work Day,Friday,Q3,S2,Not Holiday
186,1082020,1,1,8,2020,Summer,Weekend,Saturday,Q3,S2,Not Holiday
187,2082020,2,1,8,2020,Summer,Weekend,Sunday,Q3,S2,Not Holiday
188,3082020,3,2,8,2020,Summer,Work Day,Monday,Q3,S2,Not Holiday
189,4082020,4,2,8,2020,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
190,5082020,5,2,8,2020,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
191,6082020,6,2,8,2020,Summer,Work Day,Thursday,Q3,S2,Not Holiday
192,7082020,7,2,8,2020,Summer,Work Day,Friday,Q3,S2,Not Holiday
193,8082020,8,2,8,2020,Summer,Weekend,Saturday,Q3,S2,Not Holiday
194,9082020,9,2,8,2020,Summer,Weekend,Sunday,Q3,S2,Not Holiday
195,10082020,10,3,8,2020,Summer,Work Day,Monday,Q3,S2,Not Holiday
196,11082020,11,3,8,2020,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
197,12082020,12,3,8,2020,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
198,13082020,13,3,8,2020,Summer,Work Day,Thursday,Q3,S2,Not Holiday
199,14082020,14,3,8,2020,Summer,Work Day,Friday,Q3,S2,Not Holiday
200,15082020,15,3,8,2020,Summer,Weekend,Saturday,Q3,S2,Holiday
201,16082020,16,3,8,2020,Summer,Weekend,Sunday,Q3,S2,Not Holiday
202,17082020,17,4,8,2020,Summer,Work Day,Monday,Q3,S2,Not Holiday
203,18082020,18,4,8,2020,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
204,19082020,19,4,8,2020,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
205,20082020,20,4,8,2020,Summer,Work Day,Thursday,Q3,S2,Not Holiday
206,21082020,21,4,8,2020,Summer,Work Day,Friday,Q3,S2,Not Holiday
207,22082020,22,4,8,2020,Summer,Weekend,Saturday,Q3,S2,Not Holiday
208,23082020,23,4,8,2020,Summer,Weekend,Sunday,Q3,S2,Not Holiday
209,24082020,24,5,8,2020,Summer,Work Day,Monday,Q3,S2,Not Holiday
210,25082020,25,5,8,2020,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
211,26082020,26,5,8,2020,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
212,27082020,27,5,8,2020,Summer,Work Day,Thursday,Q3,S2,Not Holiday
213,28082020,28,5,8,2020,Summer,Work Day,Friday,Q3,S2,Not Holiday
214,29082020,29,5,8,2020,Summer,Weekend,Saturday,Q3,S2,Not Holiday
215,30082020,30,5,8,2020,Summer,Weekend,Sunday,Q3,S2,Not Holiday
216,31082020,31,6,8,2020,Summer,Work Day,Monday,Q3,S2,Not Holiday
217,1092020,1,1,9,2020,Autumn,Work Day,Tuesday,Q3,S2,Not Holiday
218,2092020,2,1,9,2020,Autumn,Work Day,Wednesday,Q3,S2,Not Holiday
219,3092020,3,1,9,2020,Autumn,Work Day,Thursday,Q3,S2,Not Holiday
220,4092020,4,1,9,2020,Autumn,Work Day,Friday,Q3,S2,Not Holiday
221,5092020,5,1,9,2020,Autumn,Weekend,Saturday,Q3,S2,Not Holiday
222,6092020,6,1,9,2020,Autumn,Weekend,Sunday,Q3,S2,Not Holiday
223,7092020,7,2,9,2020,Autumn,Work Day,Monday,Q3,S2,Not Holiday
224,8092020,8,2,9,2020,Autumn,Work Day,Tuesday,Q3,S2,Not Holiday
225,9092020,9,2,9,2020,Autumn,Work Day,Wednesday,Q3,S2,Not Holiday
226,10092020,10,2,9,2020,Autumn,Work Day,Thursday,Q3,S2,Not Holiday
227,11092020,11,2,9,2020,Autumn,Work Day,Friday,Q3,S2,Not Holiday
228,12092020,12,2,9,2020,Autumn,Weekend,Saturday,Q3,S2,Not Holiday
229,13092020,13,2,9,2020,Autumn,Weekend,Sunday,Q3,S2,Not Holiday
230,14092020,14,3,9,2020,Autumn,Work Day,Monday,Q3,S2,Not Holiday
231,15092020,15,3,9,2020,Autumn,Work Day,Tuesday,Q3,S2,Not Holiday
232,16092020,16,3,9,2020,Autumn,Work Day,Wednesday,Q3,S2,Not Holiday
233,17092020,17,3,9,2020,Autumn,Work Day,Thursday,Q3,S2,Not Holiday
234,18092020,18,3,9,2020,Autumn,Work Day,Friday,Q3,S2,Not Holiday
235,19092020,19,3,9,2020,Autumn,Weekend,Saturday,Q3,S2,Not Holiday
236,20092020,20,3,9,2020,Autumn,Weekend,Sunday,Q3,S2,Not Holiday
237,21092020,21,4,9,2020,Autumn,Work Day,Monday,Q3,S2,Not Holiday
238,22092020,22,4,9,2020,Autumn,Work Day,Tuesday,Q3,S2,Not Holiday
239,23092020,23,4,9,2020,Autumn,Work Day,Wednesday,Q3,S2,Not Holiday
240,24092020,24,4,9,2020,Autumn,Work Day,Thursday,Q3,S2,Not Holiday
241,25092020,25,4,9,2020,Autumn,Work Day,Friday,Q3,S2,Not Holiday
242,26092020,26,4,9,2020,Autumn,Weekend,Saturday,Q3,S2,Not Holiday
243,27092020,27,4,9,2020,Autumn,Weekend,Sunday,Q3,S2,Not Holiday
244,28092020,28,5,9,2020,Autumn,Work Day,Monday,Q3,S2,Not Holiday
245,29092020,29,5,9,2020,Autumn,Work Day,Tuesday,Q3,S2,Not Holiday
246,30092020,30,5,9,2020,Autumn,Work Day,Wednesday,Q3,S2,Not Holiday
247,1102020,1,1,10,2020,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
248,2102020,2,1,10,2020,Autumn,Work Day,Friday,Q4,S2,Not Holiday
249,3102020,3,1,10,2020,Autumn,Weekend,Saturday,Q4,S2,Not Holiday
250,4102020,4,1,10,2020,Autumn,Weekend,Sunday,Q4,S2,Not Holiday
251,5102020,5,2,10,2020,Autumn,Work Day,Monday,Q4,S2,Holiday
252,6102020,6,2,10,2020,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
253,7102020,7,2,10,2020,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
254,8102020,8,2,10,2020,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
255,9102020,9,2,10,2020,Autumn,Work Day,Friday,Q4,S2,Not Holiday
256,10102020,10,2,10,2020,Autumn,Weekend,Saturday,Q4,S2,Not Holiday
257,11102020,11,2,10,2020,Autumn,Weekend,Sunday,Q4,S2,Not Holiday
258,12102020,12,3,10,2020,Autumn,Work Day,Monday,Q4,S2,Not Holiday
259,13102020,13,3,10,2020,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
260,14102020,14,3,10,2020,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
261,15102020,15,3,10,2020,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
262,16102020,16,3,10,2020,Autumn,Work Day,Friday,Q4,S2,Not Holiday
263,17102020,17,3,10,2020,Autumn,Weekend,Saturday,Q4,S2,Not Holiday
264,18102020,18,3,10,2020,Autumn,Weekend,Sunday,Q4,S2,Not Holiday
265,19102020,19,4,10,2020,Autumn,Work Day,Monday,Q4,S2,Not Holiday
266,20102020,20,4,10,2020,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
267,21102020,21,4,10,2020,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
268,22102020,22,4,10,2020,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
269,23102020,23,4,10,2020,Autumn,Work Day,Friday,Q4,S2,Not Holiday
270,24102020,24,4,10,2020,Autumn,Weekend,Saturday,Q4,S2,Not Holiday
271,25102020,25,4,10,2020,Autumn,Weekend,Sunday,Q4,S2,Not Holiday
272,26102020,26,5,10,2020,Autumn,Work Day,Monday,Q4,S2,Not Holiday
273,27102020,27,5,10,2020,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
274,28102020,28,5,10,2020,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
275,29102020,29,5,10,2020,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
276,30102020,30,5,10,2020,Autumn,Work Day,Friday,Q4,S2,Not Holiday
277,31102020,31,5,10,2020,Autumn,Weekend,Saturday,Q4,S2,Not Holiday
278,1112020,1,1,11,2020,Autumn,Weekend,Sunday,Q4,S2,Holiday
279,2112020,2,2,11,2020,Autumn,Work Day,Monday,Q4,S2,Not Holiday
280,3112020,3,2,11,2020,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
281,4112020,4,2,11,2020,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
282,5112020,5,2,11,2020,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
283,6112020,6,2,11,2020,Autumn,Work Day,Friday,Q4,S2,Not Holiday
284,7112020,7,2,11,2020,Autumn,Weekend,Saturday,Q4,S2,Not Holiday
285,8112020,8,2,11,2020,Autumn,Weekend,Sunday,Q4,S2,Not Holiday
286,9112020,9,3,11,2020,Autumn,Work Day,Monday,Q4,S2,Not Holiday
287,10112020,10,3,11,2020,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
288,11112020,11,3,11,2020,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
289,12112020,12,3,11,2020,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
290,13112020,13,3,11,2020,Autumn,Work Day,Friday,Q4,S2,Not Holiday
291,14112020,14,3,11,2020,Autumn,Weekend,Saturday,Q4,S2,Not Holiday
292,15112020,15,3,11,2020,Autumn,Weekend,Sunday,Q4,S2,Not Holiday
293,16112020,16,4,11,2020,Autumn,Work Day,Monday,Q4,S2,Not Holiday
294,17112020,17,4,11,2020,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
295,18112020,18,4,11,2020,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
296,19112020,19,4,11,2020,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
297,20112020,20,4,11,2020,Autumn,Work Day,Friday,Q4,S2,Not Holiday
298,21112020,21,4,11,2020,Autumn,Weekend,Saturday,Q4,S2,Not Holiday
299,22112020,22,4,11,2020,Autumn,Weekend,Sunday,Q4,S2,Not Holiday
300,23112020,23,5,11,2020,Autumn,Work Day,Monday,Q4,S2,Not Holiday
301,24112020,24,5,11,2020,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
302,25112020,25,5,11,2020,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
303,26112020,26,5,11,2020,Autumn,Work Day,Thursday,Q4,S2,Not Holiday
304,27112020,27,5,11,2020,Autumn,Work Day,Friday,Q4,S2,Not Holiday
305,28112020,28,5,11,2020,Autumn,Weekend,Saturday,Q4,S2,Not Holiday
306,29112020,29,5,11,2020,Autumn,Weekend,Sunday,Q4,S2,Not Holiday
307,30112020,30,6,11,2020,Autumn,Work Day,Monday,Q4,S2,Not Holiday
308,1122020,1,1,12,2020,Winter,Work Day,Tuesday,Q4,S2,Holiday
309,2122020,2,1,12,2020,Winter,Work Day,Wednesday,Q4,S2,Not Holiday
310,3122020,3,1,12,2020,Winter,Work Day,Thursday,Q4,S2,Not Holiday
311,4122020,4,1,12,2020,Winter,Work Day,Friday,Q4,S2,Not Holiday
312,5122020,5,1,12,2020,Winter,Weekend,Saturday,Q4,S2,Not Holiday
313,6122020,6,1,12,2020,Winter,Weekend,Sunday,Q4,S2,Not Holiday
314,7122020,7,2,12,2020,Winter,Work Day,Monday,Q4,S2,Not Holiday
315,8122020,8,2,12,2020,Winter,Work Day,Tuesday,Q4,S2,Holiday
316,9122020,9,2,12,2020,Winter,Work Day,Wednesday,Q4,S2,Not Holiday
317,10122020,10,2,12,2020,Winter,Work Day,Thursday,Q4,S2,Not Holiday
318,11122020,11,2,12,2020,Winter,Work Day,Friday,Q4,S2,Not Holiday
319,12122020,12,2,12,2020,Winter,Weekend,Saturday,Q4,S2,Not Holiday
320,13122020,13,2,12,2020,Winter,Weekend,Sunday,Q4,S2,Not Holiday
321,14122020,14,3,12,2020,Winter,Work Day,Monday,Q4,S2,Not Holiday
322,15122020,15,3,12,2020,Winter,Work Day,Tuesday,Q4,S2,Not Holiday
